time,FailOnTouchObstacleShort-1_pos_x,FailOnTouchObstacleShort-1_pos_y,FailOnTouchObstacleShort-1_pos_z,FailOnTouchObstacleShort-1_rot_x,FailOnTouchObstacleShort-1_rot_y,FailOnTouchObstacleShort-1_rot_z
218.1445,0.0267,0.7903,0.0772,1.1528,1.1528,1.1528
218.1556,0.0282,0.7905,0.0786,1.2339,1.2339,1.2339
218.1667,0.03,0.7906,0.0798,1.7461,1.7461,1.7461
218.1778,0.0322,0.7908,0.0811,1.9196,1.9196,1.9196
218.1889,0.0346,0.7911,0.0823,3.2949,3.2949,3.2949
218.2,0.0374,0.7909,0.0837,2.6279,2.6279,2.6279
218.2111,0.0403,0.7909999999999999,0.085,2.7527,2.7527,2.7527
218.2222,0.0434,0.7911,0.0864,2.8615,2.8615,2.8615
218.2333,0.0467,0.7912,0.08800000000000001,2.9162,2.9162,2.9162
218.2444,0.0501,0.7913,0.0897,2.9103,2.9103,2.9103
218.2556,0.0537,0.7914,0.0914,3.0982,3.0982,3.0982
218.2667,0.0576,0.7915,0.0931,3.472,3.472,3.472
218.2778,0.0614,0.7916,0.0947,3.9237,3.9237,3.9237
218.2889,0.0651,0.7916,0.0964,4.3592,4.3592,4.3592
218.3,0.0688,0.7916,0.0981,4.6512,4.6512,4.6512
218.3111,0.0726,0.7916,0.0999,4.8316,4.8316,4.8316
218.3222,0.0764,0.7915,0.1017,4.6855,4.6855,4.6855
218.3333,0.0803,0.7914,0.1035,4.6336,4.6336,4.6336
218.3445,0.0843,0.7915,0.1052,4.9473,4.9473,4.9473
218.3556,0.0883,0.7915,0.1069,5.3824,5.3824,5.3824
218.3667,0.0921,0.7915,0.1085,6.0705,6.0705,6.0705
218.3778,0.0957,0.7915,0.1102,6.6275,6.6275,6.6275
218.3889,0.0992,0.7914,0.11199999999999999,6.8718,6.8718,6.8718
218.4,0.1023,0.7917,0.1138,7.3562,7.3562,7.3562
218.4111,0.1056,0.7916,0.1155,7.4337,7.4337,7.4337
218.4222,0.1086,0.7918,0.1171,7.6648,7.6648,7.6648
218.4333,0.1116,0.7921,0.1188,8.0762,8.0762,8.0762
218.4444,0.1146,0.7925,0.1204,8.8267,8.8267,8.8267
218.4556,0.1173,0.7928,0.1221,9.5337,9.5337,9.5337
218.4667,0.1199,0.7929,0.1236,9.7933,9.7933,9.7933
218.4778,0.1221,0.7928,0.1253,9.8272,9.8272,9.8272
218.4889,0.1242,0.7924,0.1268,9.6661,9.6661,9.6661
218.5,0.126,0.7922,0.128,9.5091,9.5091,9.5091
218.5111,0.1279,0.7919,0.1293,9.7459,9.7459,9.7459
218.5222,0.1296,0.7919,0.1303,9.7694,9.7694,9.7694
218.5333,0.1312,0.792,0.1312,9.6853,9.6853,9.6853
218.5444,0.1327,0.792,0.132,9.5764,9.5764,9.5764
218.5556,0.134,0.792,0.1327,9.5695,9.5695,9.5695
218.5667,0.135,0.7921,0.1335,9.6086,9.6086,9.6086
218.5778,0.1359,0.7922,0.1341,9.7805,9.7805,9.7805
218.5889,0.1366,0.7922,0.1347,9.7373,9.7373,9.7373
218.6,0.1372,0.7922,0.1352,9.6454,9.6454,9.6454
218.6111,0.1378,0.7922,0.1356,9.6443,9.6443,9.6443
218.6222,0.1385,0.7922,0.1359,9.6526,9.6526,9.6526
218.6333,0.1392,0.7922,0.1362,9.6061,9.6061,9.6061
218.6445,0.1398,0.7922,0.1364,9.4653,9.4653,9.4653
218.6556,0.1403,0.7922,0.1366,9.306000000000001,9.306000000000001,9.306000000000001
218.6667,0.1407,0.7922,0.1367,9.1678,9.1678,9.1678
218.6778,0.1411,0.7922,0.1369,8.9818,8.9818,8.9818
218.6889,0.1415,0.7921,0.1369,8.7925,8.7925,8.7925
218.7,0.1417,0.7921,0.13699999999999998,8.6254,8.6254,8.6254
218.7111,0.142,0.7921,0.13699999999999998,8.5382,8.5382,8.5382
218.7222,0.1423,0.7921,0.13699999999999998,8.5032,8.5032,8.5032
218.7333,0.1426,0.7921,0.1369,8.3877,8.3877,8.3877
218.7444,0.1428,0.7921,0.1368,8.1925,8.1925,8.1925
218.7556,0.14300000000000002,0.792,0.1366,8.1064,8.1064,8.1064
218.7667,0.1433,0.792,0.1365,8.0062,8.0062,8.0062
218.7778,0.1435,0.792,0.1363,7.9165,7.9165,7.9165
218.7889,0.1439,0.792,0.1363,8.032,8.032,8.032
218.8,0.1442,0.792,0.1362,8.099,8.099,8.099
218.8111,0.1444,0.792,0.1362,8.1117,8.1117,8.1117
218.8222,0.1445,0.792,0.1363,7.99,7.99,7.99
218.8333,0.1444,0.792,0.1363,7.8471,7.8471,7.8471
218.8445,0.1443,0.792,0.1364,7.7115,7.7115,7.7115
218.8556,0.1442,0.792,0.1363,7.7383,7.7383,7.7383
218.8667,0.1436,0.7928,0.1365,7.46,7.46,7.46
218.8778,0.1429,0.7928,0.1369,7.3493,7.3493,7.3493
218.8889,0.1422,0.7926,0.1373,7.2778,7.2778,7.2778
218.9,0.1415,0.7926,0.1374,6.9265,6.9265,6.9265
218.9111,0.1409,0.7924,0.13699999999999998,6.3553,6.3553,6.3553
218.9222,0.1404,0.7922,0.1363,5.5736,5.5736,5.5736
218.9333,0.1399,0.7918,0.1353,4.5655,4.5655,4.5655
218.9444,0.1392,0.7914,0.1341,3.307,3.307,3.307
218.9556,0.1382,0.7908,0.1328,1.7790000000000001,1.7790000000000001,1.7790000000000001
218.9667,0.1373,0.7902,0.1315,0.2889,0.2889,0.2889
218.9778,0.1367,0.7903,0.1308,359.3528,359.3528,359.3528
218.9889,0.1363,0.7905,0.1303,358.773,358.773,358.773
219.0,0.1361,0.7906,0.1301,358.4961,358.4961,358.4961
219.0111,0.1361,0.7906,0.1301,358.5042,358.5042,358.5042
219.0222,0.1363,0.7905,0.1303,358.8021,358.8021,358.8021
219.0333,0.1367,0.7902,0.1308,359.397,359.397,359.397
219.0444,0.13699999999999998,0.7901,0.1312,359.9142,359.9142,359.9142
219.0556,0.1372,0.7901,0.1315,0.1868,0.1868,0.1868
219.0667,0.1372,0.7901,0.1316,0.2353,0.2353,0.2353
219.0778,0.1371,0.7901,0.1315,0.1553,0.1553,0.1553
219.0889,0.1371,0.79,0.1314,0.0501,0.0501,0.0501
219.1,0.1371,0.79,0.1313,359.981,359.981,359.981
219.1111,0.1371,0.79,0.1313,359.9583,359.9583,359.9583
219.1222,0.1371,0.79,0.1313,359.9662,359.9662,359.9662
219.1333,0.1371,0.79,0.1313,359.9838,359.9838,359.9838
219.1445,0.1371,0.79,0.1313,-0.0024,-0.0024,-0.0024
219.1556,0.1371,0.79,0.1313,0.0034,0.0034,0.0034
219.1667,0.1371,0.79,0.1313,0.0032,0.0032,0.0032
219.1778,0.1371,0.79,0.1313,0.0006,0.0006,0.0006
219.1889,0.1371,0.79,0.1313,-0.0017,-0.0017,-0.0017
219.2,0.1371,0.79,0.1313,-0.0029,-0.0029,-0.0029
219.2111,0.1371,0.79,0.1313,-0.003,-0.003,-0.003
219.2222,0.1371,0.79,0.1313,-0.0026,-0.0026,-0.0026
219.2333,0.1371,0.79,0.1313,-0.0022,-0.0022,-0.0022
219.2444,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.2556,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.2667,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.2778,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.2889,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.3,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.3111,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.3222,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.3333,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.3445,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.3556,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.3667,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.3778,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.3889,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.4,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.4111,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.4222,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.4333,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.4444,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.4556,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.4667,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.4778,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.4889,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.5,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.5111,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.5222,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.5333,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
219.5444,0.1371,0.79,0.1313,-0.0021,-0.0021,-0.0021
