time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
993.8334,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.8445,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.8556,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.8667,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.8778,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.8889,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.9,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.9111,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.9222,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.9333,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.9445,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.9556,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.9667,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.9778,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
993.9889,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.0,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.0111,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.0222,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.0334,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.0445,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.0556,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.0667,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.0778,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.0889,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.1,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.1111,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.1223,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.1334,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.1445,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.1556,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.1667,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.1778,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.1889,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.2,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.2111,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.2222,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.2333,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.2444,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.2556,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.2667,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
994.2778,-0.1594,0.79,0.0469,0.0004,0.0004,0.0004
